motorista_id,idade,experiencia_anos,renda_mensal_estimada,regiao_atuacao,tipo_servico_principal,data_cadastro,tem_cnh_categoria_b,tem_cnh_categoria_d,score_motorista,horas_trabalho_semana,possui_veiculo_proprio
57,58,0.6,4595.33,Rio de Janeiro - RJ,Uber/99,2024-06-17,True,False,5.0,58.0,False
58,28,0.5,4913.93,Rio de Janeiro - RJ,Delivery,2024-04-13,True,False,4.1,55.0,True
59,47,4.1,2014.13,São Paulo - SP,Uber/99,2024-06-15,True,False,3.6,33.0,False
60,22,4.5,2095.92,São Paulo - SP,Executivo,2024-04-03,True,False,3.1,49.0,True
61,35,1.3,1500.0,São Paulo - SP,Uber/99,2024-10-22,True,False,4.1,42.0,True
62,31,1.3,2153.22,São Paulo - SP,Uber/99,2024-09-16,True,False,3.3,52.0,False
63,22,5.0,12000.0,Salvador - BA,Uber/99,2024-06-08,True,False,3.3,24.0,False
64,41,2.6,4549.85,São Paulo - SP,Delivery,2024-06-28,True,True,3.7,28.0,False
65,22,3.2,1724.2,Rio de Janeiro - RJ,Uber/99,2024-05-30,True,False,4.0,68.0,False
66,41,3.7,1759.02,Rio de Janeiro - RJ,Uber/99,2024-08-24,True,True,4.8,56.0,False
67,28,11.3,4378.89,Curitiba - PR,Delivery,2024-09-20,True,True,5.0,55.0,False
68,24,1.0,4751.02,Brasília - DF,Uber/99,2024-01-28,True,False,3.3,35.0,True
69,44,3.8,3060.02,Salvador - BA,Uber/99,2024-10-21,True,False,3.6,57.0,False
70,23,0.8,5186.72,Rio de Janeiro - RJ,Uber/99,2024-12-02,True,False,3.7,53.0,False
71,24,1.0,3560.32,Rio de Janeiro - RJ,Uber/99,2024-12-21,True,False,4.1,48.0,False
72,37,1.5,2474.92,São Paulo - SP,Uber/99,2024-08-14,True,False,3.9,49.0,False
73,57,2.3,2718.81,Salvador - BA,Uber/99,2024-12-12,True,True,4.1,52.0,False
74,52,2.8,2316.6,Brasília - DF,Uber/99,2024-08-30,True,False,3.6,36.0,True
75,26,9.7,2297.86,Rio de Janeiro - RJ,Uber/99,2024-02-18,True,False,4.2,28.0,True
76,57,4.8,1500.0,São Paulo - SP,Uber/99,2024-12-19,True,False,4.9,53.0,False
77,33,4.2,2364.7,São Paulo - SP,Delivery,2024-04-08,True,True,5.0,44.0,False
78,51,0.9,1821.99,São Paulo - SP,Delivery,2024-02-08,True,False,4.8,34.0,False
79,25,4.5,7909.79,Curitiba - PR,Turismo,2024-09-14,True,True,4.5,33.0,False
80,43,9.2,1500.0,São Paulo - SP,Uber/99,2024-06-21,True,True,4.4,54.0,False
81,33,3.3,12000.0,Belo Horizonte - MG,Uber/99,2024-01-06,True,True,4.0,58.0,True
82,42,7.8,6662.25,Brasília - DF,Uber/99,2024-03-29,True,False,4.7,43.0,False
83,43,1.6,5042.72,Belo Horizonte - MG,Delivery,2024-03-30,True,True,4.4,46.0,True
84,41,7.0,1500.0,Belo Horizonte - MG,Uber/99,2024-07-23,True,True,5.0,31.0,True
85,45,5.9,2254.18,São Paulo - SP,Uber/99,2024-11-09,True,True,3.9,44.0,True
86,35,1.0,2295.73,Belo Horizonte - MG,Delivery,2024-02-19,True,False,4.4,46.0,False
87,30,4.2,1500.0,Rio de Janeiro - RJ,Uber/99,2024-12-25,True,False,4.8,40.0,False
88,45,1.2,4375.63,São Paulo - SP,Uber/99,2024-08-14,True,False,3.3,41.0,True
89,27,3.4,1796.62,Rio de Janeiro - RJ,Uber/99,2024-10-06,True,False,4.0,45.0,False
90,37,8.7,10445.03,Rio de Janeiro - RJ,Uber/99,2024-06-19,True,False,4.5,36.0,False
91,29,0.5,2260.69,Rio de Janeiro - RJ,Delivery,2024-09-27,True,False,3.6,38.0,False
92,55,11.6,11260.46,São Paulo - SP,Uber/99,2024-02-07,True,False,3.6,44.0,False
93,47,14.6,5921.65,Rio de Janeiro - RJ,Uber/99,2024-09-11,True,True,3.9,34.0,True
94,22,2.2,1500.0,Salvador - BA,Uber/99,2024-07-13,True,False,4.5,66.0,False
95,49,2.5,1500.0,Belo Horizonte - MG,Executivo,2024-10-17,True,False,4.0,45.0,True
96,23,10.8,4145.21,Curitiba - PR,Uber/99,2024-05-31,True,False,4.0,42.0,False
97,33,1.8,1500.0,São Paulo - SP,Delivery,2024-03-12,True,False,4.2,32.0,True
98,46,0.5,2890.1,São Paulo - SP,Delivery,2024-03-25,True,False,4.1,53.0,False
99,59,4.5,6503.8,São Paulo - SP,Delivery,2024-05-25,True,False,4.9,42.0,False
100,26,2.9,4707.43,Rio de Janeiro - RJ,Turismo,2024-10-14,True,False,3.5,23.0,False
101,32,4.3,3342.96,Belo Horizonte - MG,Uber/99,2024-09-09,True,False,4.2,50.0,False
102,50,1.3,5156.6,Belo Horizonte - MG,Uber/99,2024-03-06,True,True,4.9,47.0,False
103,35,3.7,5827.47,Curitiba - PR,Uber/99,2024-10-17,True,False,4.5,53.0,False
104,50,0.9,6027.69,Rio de Janeiro - RJ,Uber/99,2024-06-16,True,False,3.6,31.0,False
105,34,0.5,3655.24,Rio de Janeiro - RJ,Executivo,2024-05-31,True,False,5.0,56.0,False
106,39,5.5,10619.63,São Paulo - SP,Executivo,2024-06-05,True,False,3.5,41.0,False
107,38,5.1,1500.0,Salvador - BA,Delivery,2024-10-12,True,False,4.5,50.0,True
108,34,6.5,1500.0,Belo Horizonte - MG,Uber/99,2024-11-10,True,False,5.0,39.0,True
109,47,0.5,2920.9,Belo Horizonte - MG,Delivery,2024-09-17,True,True,3.4,55.0,True
110,34,4.0,3601.66,São Paulo - SP,Uber/99,2024-06-24,True,False,4.9,55.0,False
111,34,1.3,6870.3,Brasília - DF,Delivery,2024-03-29,True,False,3.8,59.0,False
112,32,4.2,5812.89,Brasília - DF,Delivery,2024-09-14,True,False,4.3,46.0,False
113,27,3.2,3443.91,Belo Horizonte - MG,Uber/99,2024-09-20,True,False,4.2,66.0,False
114,29,2.1,1500.0,Rio de Janeiro - RJ,Uber/99,2024-01-07,True,False,5.0,42.0,False
115,39,5.8,6908.56,Rio de Janeiro - RJ,Uber/99,2024-12-07,True,False,4.9,61.0,True
116,42,4.4,1500.0,São Paulo - SP,Delivery,2024-08-31,True,True,5.0,39.0,False
117,23,0.5,3399.08,Curitiba - PR,Delivery,2024-05-04,True,False,4.5,44.0,False
118,30,3.8,8528.68,Curitiba - PR,Executivo,2024-08-31,True,False,3.7,31.0,True
119,37,1.1,1500.0,São Paulo - SP,Uber/99,2024-06-26,True,False,4.4,44.0,False
120,45,1.3,8106.91,São Paulo - SP,Uber/99,2024-03-09,True,False,3.6,59.0,False
121,43,6.4,3312.49,Belo Horizonte - MG,Uber/99,2024-07-11,True,True,4.3,40.0,True
122,30,4.4,1902.26,Belo Horizonte - MG,Turismo,2024-11-10,True,False,5.0,20.0,True
123,23,1.5,4187.23,Belo Horizonte - MG,Uber/99,2024-02-18,True,False,3.9,25.0,True
124,32,0.5,2084.55,Curitiba - PR,Uber/99,2024-07-05,True,False,4.7,47.0,False
125,33,3.1,3230.65,São Paulo - SP,Executivo,2024-12-02,True,False,4.2,44.0,False
126,24,5.5,4197.0,Belo Horizonte - MG,Executivo,2024-10-27,True,False,4.2,70.0,False
127,30,2.0,1951.44,São Paulo - SP,Uber/99,2024-04-22,True,False,5.0,59.0,True
128,26,7.9,1500.0,Rio de Janeiro - RJ,Uber/99,2024-12-20,True,False,4.1,51.0,False
129,53,4.8,12000.0,Rio de Janeiro - RJ,Delivery,2024-01-15,True,True,3.8,49.0,False
130,26,0.5,1500.0,Brasília - DF,Executivo,2024-12-10,True,False,4.8,69.0,False
131,51,5.6,2249.67,Brasília - DF,Uber/99,2024-07-22,True,False,3.4,43.0,False
132,39,0.5,1500.0,São Paulo - SP,Uber/99,2024-03-19,True,False,5.0,48.0,True
133,33,5.6,3497.83,Belo Horizonte - MG,Uber/99,2024-09-25,True,False,4.0,41.0,True
134,34,2.8,2547.17,São Paulo - SP,Uber/99,2024-08-25,True,False,4.4,34.0,False
135,43,0.5,4704.66,Brasília - DF,Uber/99,2024-05-28,True,False,4.1,40.0,True
136,33,2.9,4038.24,Brasília - DF,Uber/99,2024-12-06,True,False,3.8,32.0,False
137,37,2.4,11747.48,Curitiba - PR,Uber/99,2024-06-26,True,False,4.4,35.0,False
138,24,1.4,2464.14,São Paulo - SP,Uber/99,2024-02-21,True,False,4.9,62.0,False
139,36,1.4,4618.45,Rio de Janeiro - RJ,Uber/99,2024-01-10,True,False,3.6,46.0,True
140,32,1.6,3175.99,Salvador - BA,Executivo,2024-10-26,True,False,3.8,41.0,False
141,41,0.5,3042.24,Rio de Janeiro - RJ,Uber/99,2024-04-05,True,False,4.6,41.0,True
142,31,0.6,7534.0,São Paulo - SP,Uber/99,2024-07-23,True,False,4.6,66.0,False
143,31,1.8,2084.83,São Paulo - SP,Uber/99,2024-09-12,True,False,4.5,37.0,False
144,37,0.5,7072.24,São Paulo - SP,Uber/99,2024-11-28,True,True,4.8,54.0,False
145,27,0.5,1500.0,Rio de Janeiro - RJ,Uber/99,2024-03-28,True,False,4.7,50.0,True
146,53,3.1,2536.66,Curitiba - PR,Turismo,2024-05-13,True,False,3.7,47.0,False
147,23,0.8,4067.23,Salvador - BA,Delivery,2024-08-14,True,False,3.9,56.0,False
148,30,6.7,3427.97,Brasília - DF,Turismo,2024-09-07,True,False,4.8,38.0,False
149,36,0.7,4017.8,São Paulo - SP,Delivery,2024-04-25,True,False,4.6,53.0,False
150,31,10.2,1500.0,São Paulo - SP,Uber/99,2024-07-10,True,True,3.1,44.0,False
151,31,3.3,3813.16,São Paulo - SP,Uber/99,2024-02-08,True,False,4.7,46.0,False
152,49,0.5,2375.4,São Paulo - SP,Uber/99,2024-03-02,True,False,3.8,21.0,False
153,37,4.9,3490.16,Brasília - DF,Delivery,2024-12-27,True,True,4.6,32.0,True
154,31,0.5,3386.11,Brasília - DF,Uber/99,2024-07-23,True,False,3.7,31.0,False
155,38,0.7,3247.38,Salvador - BA,Uber/99,2024-02-21,True,False,4.8,44.0,True
156,21,0.5,1727.24,Salvador - BA,Delivery,2024-10-07,True,False,4.4,57.0,False
157,30,3.9,2279.28,Salvador - BA,Uber/99,2024-09-09,True,True,4.4,60.0,False
158,23,4.0,2237.56,São Paulo - SP,Executivo,2024-05-06,True,False,4.4,36.0,False
159,33,6.7,4243.49,Brasília - DF,Uber/99,2024-07-21,True,False,3.3,27.0,False
160,23,1.4,9018.29,Belo Horizonte - MG,Delivery,2024-01-16,True,False,4.0,66.0,False
161,45,1.1,4131.1,Salvador - BA,Executivo,2024-01-20,True,False,5.0,33.0,False
162,22,3.7,1789.35,São Paulo - SP,Uber/99,2024-09-19,True,False,4.3,28.0,False
163,38,1.6,4415.84,Rio de Janeiro - RJ,Uber/99,2024-09-09,True,True,3.9,42.0,False
164,21,0.5,5982.85,Salvador - BA,Uber/99,2024-10-08,True,False,4.0,49.0,False
165,34,1.5,12000.0,São Paulo - SP,Delivery,2024-02-27,True,False,4.3,30.0,True
166,22,1.1,7136.74,Rio de Janeiro - RJ,Uber/99,2024-05-25,True,True,3.9,20.0,True
167,41,9.7,1500.0,Rio de Janeiro - RJ,Uber/99,2024-04-27,True,False,4.3,41.0,False
168,53,0.5,4032.14,Rio de Janeiro - RJ,Executivo,2024-11-08,True,True,5.0,57.0,False
169,54,2.1,5702.89,Curitiba - PR,Uber/99,2024-11-11,True,True,4.8,66.0,False
170,29,1.1,1916.15,Rio de Janeiro - RJ,Uber/99,2024-09-06,True,False,4.5,47.0,True
171,54,6.0,4835.57,São Paulo - SP,Delivery,2024-02-16,True,False,3.7,37.0,False
172,21,1.6,3645.85,Brasília - DF,Executivo,2024-04-11,True,False,4.5,39.0,False
173,35,0.5,2780.94,Rio de Janeiro - RJ,Uber/99,2024-09-18,True,False,4.2,34.0,True
174,37,0.5,2811.38,São Paulo - SP,Delivery,2024-01-26,True,False,4.5,55.0,False
175,33,0.5,1500.0,Curitiba - PR,Uber/99,2024-12-10,True,False,4.2,47.0,False
176,46,2.8,1771.39,Brasília - DF,Uber/99,2024-11-30,True,False,4.4,48.0,False
177,36,0.8,5527.85,Rio de Janeiro - RJ,Uber/99,2024-03-11,True,False,4.5,53.0,True
178,45,2.7,3080.49,São Paulo - SP,Delivery,2024-01-28,True,False,4.6,55.0,True
179,22,1.9,3321.86,São Paulo - SP,Executivo,2024-02-24,True,False,3.2,59.0,False
180,56,2.0,1500.0,São Paulo - SP,Executivo,2024-04-11,True,False,4.6,55.0,True
181,29,1.2,2946.85,São Paulo - SP,Uber/99,2024-12-05,True,True,4.2,66.0,True
182,57,1.7,7062.99,Rio de Janeiro - RJ,Uber/99,2024-01-06,True,False,4.5,29.0,False
183,28,5.6,8802.64,Curitiba - PR,Uber/99,2024-01-05,True,False,3.5,32.0,False
184,47,3.9,1500.0,Brasília - DF,Turismo,2024-10-18,True,False,3.6,42.0,False
185,30,0.5,2313.84,Salvador - BA,Delivery,2024-03-27,True,False,4.5,36.0,False
186,26,0.5,3122.51,São Paulo - SP,Uber/99,2024-12-06,True,False,4.1,55.0,False
187,49,11.3,2431.14,Salvador - BA,Uber/99,2024-02-12,True,False,3.1,39.0,False
188,22,11.7,3083.37,São Paulo - SP,Executivo,2024-04-30,True,False,5.0,20.0,False
189,47,7.0,2214.45,São Paulo - SP,Uber/99,2024-08-23,True,False,4.0,20.0,False
190,27,2.6,12000.0,Brasília - DF,Uber/99,2024-06-05,True,False,3.7,45.0,False
191,49,1.2,4167.73,Salvador - BA,Uber/99,2024-07-13,True,False,3.6,43.0,False
192,48,7.7,5061.43,Curitiba - PR,Uber/99,2024-09-20,True,False,4.9,46.0,False
193,23,2.7,1980.89,Brasília - DF,Delivery,2024-05-25,True,False,4.6,40.0,True
194,31,0.5,6399.62,São Paulo - SP,Executivo,2024-09-16,True,False,5.0,33.0,True
195,29,0.5,2994.35,Salvador - BA,Delivery,2024-10-07,True,False,3.7,47.0,True
196,21,0.7,2910.62,Salvador - BA,Uber/99,2024-11-27,True,False,3.7,24.0,False
197,36,3.9,7018.79,São Paulo - SP,Delivery,2024-09-06,True,False,3.3,31.0,True
198,48,0.7,1500.0,Belo Horizonte - MG,Delivery,2024-08-18,True,False,3.7,60.0,False
199,38,0.7,2370.93,Rio de Janeiro - RJ,Uber/99,2024-09-25,True,False,4.0,47.0,False
200,58,9.0,1597.26,São Paulo - SP,Uber/99,2024-10-11,True,False,4.3,41.0,False
201,24,0.7,1775.62,Belo Horizonte - MG,Uber/99,2024-12-24,True,False,4.3,55.0,False
202,57,13.6,1926.09,Belo Horizonte - MG,Uber/99,2024-10-30,True,False,4.3,45.0,False
203,44,0.5,7377.4,Rio de Janeiro - RJ,Delivery,2024-09-01,True,False,3.8,55.0,False
204,35,0.5,2868.34,Belo Horizonte - MG,Uber/99,2024-03-29,True,False,4.5,38.0,False
205,32,4.6,7682.64,Curitiba - PR,Uber/99,2024-09-15,True,False,4.4,39.0,False
206,34,0.5,4807.74,São Paulo - SP,Uber/99,2024-01-07,True,False,4.5,61.0,False
207,21,1.0,6114.39,Belo Horizonte - MG,Uber/99,2024-07-07,True,True,4.6,51.0,False
208,39,3.6,2786.96,São Paulo - SP,Uber/99,2024-10-01,True,False,3.7,45.0,False
209,30,0.5,4041.52,São Paulo - SP,Uber/99,2024-01-11,True,False,5.0,46.0,False
210,35,5.3,2514.32,Brasília - DF,Delivery,2024-12-27,True,True,4.3,59.0,False
211,35,4.9,6298.16,Rio de Janeiro - RJ,Uber/99,2024-02-01,True,False,3.7,45.0,False
212,29,12.9,1926.76,Curitiba - PR,Delivery,2024-06-30,True,True,4.1,53.0,False
213,53,2.2,1927.47,Brasília - DF,Delivery,2024-04-05,True,False,4.2,38.0,False
214,45,9.8,2472.38,Rio de Janeiro - RJ,Uber/99,2024-05-30,True,False,3.9,48.0,False
215,32,0.7,1500.0,São Paulo - SP,Uber/99,2024-04-04,True,False,4.6,60.0,False
216,42,5.4,2167.4,Rio de Janeiro - RJ,Uber/99,2024-07-04,True,False,3.5,27.0,False
217,38,1.7,5166.91,Rio de Janeiro - RJ,Delivery,2024-03-13,True,False,4.3,28.0,False
218,30,3.9,4125.49,São Paulo - SP,Delivery,2024-08-14,True,False,4.4,27.0,False
219,38,1.9,11085.23,Salvador - BA,Uber/99,2024-11-08,True,False,4.7,24.0,False
220,44,8.6,5988.53,Brasília - DF,Uber/99,2024-01-20,True,True,4.8,48.0,False
221,31,5.0,4213.85,Belo Horizonte - MG,Uber/99,2024-03-17,True,False,4.0,42.0,True
222,56,1.8,2647.8,Salvador - BA,Executivo,2024-03-27,True,False,3.7,36.0,False
223,36,7.1,1500.0,Belo Horizonte - MG,Delivery,2024-12-06,True,False,3.1,32.0,False
224,27,4.6,6734.79,São Paulo - SP,Uber/99,2024-10-28,True,False,3.3,51.0,False
225,33,1.1,2061.13,Curitiba - PR,Uber/99,2024-01-13,True,False,4.0,40.0,False
226,43,1.0,2725.47,Belo Horizonte - MG,Executivo,2024-08-27,True,False,4.1,35.0,False
227,47,0.6,1500.0,Curitiba - PR,Uber/99,2024-04-05,True,False,4.3,53.0,False
228,58,1.6,1500.0,Brasília - DF,Uber/99,2024-02-13,True,False,4.8,44.0,False
229,31,0.5,7576.44,Curitiba - PR,Executivo,2024-06-02,True,False,3.9,22.0,False
230,45,1.4,4346.54,Belo Horizonte - MG,Uber/99,2024-06-07,True,True,4.2,70.0,False
231,32,3.4,7101.68,São Paulo - SP,Uber/99,2024-12-11,True,True,4.1,48.0,True
232,34,7.3,3332.48,Rio de Janeiro - RJ,Uber/99,2024-12-07,True,False,3.5,33.0,False
233,36,1.7,2963.26,São Paulo - SP,Uber/99,2024-05-20,True,False,3.7,56.0,False
234,21,2.6,10535.7,São Paulo - SP,Uber/99,2024-02-24,True,False,4.8,46.0,True
235,37,0.5,8543.89,Belo Horizonte - MG,Uber/99,2024-12-26,True,False,4.3,61.0,False
236,44,3.5,6446.78,São Paulo - SP,Delivery,2024-01-31,True,True,4.2,70.0,True
237,27,1.1,3493.73,Brasília - DF,Uber/99,2024-07-25,True,False,3.9,52.0,False
238,51,1.0,1501.18,Rio de Janeiro - RJ,Uber/99,2024-06-05,True,False,3.6,46.0,True
239,42,5.4,11623.16,Curitiba - PR,Uber/99,2024-06-13,True,False,3.6,39.0,False
240,50,2.8,2068.53,Brasília - DF,Uber/99,2024-01-01,True,True,3.6,48.0,True
241,32,1.9,8177.78,Belo Horizonte - MG,Uber/99,2024-11-24,True,False,4.7,53.0,False
242,41,4.5,1500.0,Salvador - BA,Delivery,2024-02-26,True,False,4.7,70.0,False
243,25,2.3,1996.82,São Paulo - SP,Uber/99,2024-12-31,True,True,4.3,42.0,False
244,48,0.7,5054.07,São Paulo - SP,Delivery,2024-07-24,True,False,4.2,38.0,True
245,36,5.9,5840.08,Curitiba - PR,Uber/99,2024-10-07,True,True,5.0,66.0,True
246,34,0.5,12000.0,São Paulo - SP,Delivery,2024-10-05,True,False,4.5,21.0,False
247,39,4.1,6379.96,São Paulo - SP,Uber/99,2024-03-08,True,False,4.1,31.0,False
248,42,3.9,3058.47,São Paulo - SP,Uber/99,2024-08-11,True,False,4.1,70.0,False
249,48,0.7,5896.06,Curitiba - PR,Uber/99,2024-11-09,True,False,4.3,55.0,True
250,31,0.5,2042.82,São Paulo - SP,Delivery,2024-08-20,True,False,4.4,51.0,True
251,40,2.0,1500.0,São Paulo - SP,Delivery,2024-10-24,True,False,3.3,22.0,False
252,26,4.7,2389.13,São Paulo - SP,Uber/99,2024-02-04,True,False,4.8,54.0,False
253,40,7.5,3829.08,Rio de Janeiro - RJ,Delivery,2024-02-29,True,False,4.3,43.0,True
254,37,1.6,4870.84,Curitiba - PR,Uber/99,2024-07-12,True,False,4.7,40.0,False
255,52,0.5,2222.35,Curitiba - PR,Uber/99,2024-10-24,True,False,2.9,53.0,False
256,34,7.1,1991.59,São Paulo - SP,Uber/99,2024-08-31,True,False,4.2,56.0,True
257,54,8.9,3752.02,São Paulo - SP,Uber/99,2024-05-16,True,False,3.6,34.0,True
258,57,10.0,5990.66,Belo Horizonte - MG,Executivo,2024-11-06,True,True,4.0,59.0,False
259,27,1.7,8294.19,Brasília - DF,Uber/99,2024-10-24,True,False,4.4,37.0,False
260,25,1.7,2737.33,São Paulo - SP,Uber/99,2024-10-19,True,False,3.9,57.0,False
261,31,1.9,6255.25,Brasília - DF,Executivo,2024-02-23,True,False,4.8,61.0,False
262,39,3.1,2244.48,Rio de Janeiro - RJ,Turismo,2024-09-05,True,True,2.7,48.0,False
263,30,4.7,4870.83,Brasília - DF,Uber/99,2024-04-01,True,False,3.8,49.0,True
264,56,0.5,8842.18,Rio de Janeiro - RJ,Uber/99,2024-11-15,True,False,3.9,22.0,False
265,39,1.0,4209.12,São Paulo - SP,Executivo,2024-01-07,True,False,3.8,45.0,False
266,35,2.6,2441.97,Brasília - DF,Executivo,2024-12-29,True,False,4.0,28.0,False
267,26,3.7,4482.93,São Paulo - SP,Turismo,2024-11-23,True,False,4.7,41.0,True
268,31,2.6,12000.0,São Paulo - SP,Uber/99,2024-09-28,True,True,5.0,36.0,True
269,54,3.5,5007.47,São Paulo - SP,Uber/99,2024-02-24,True,False,5.0,34.0,False
270,34,0.6,4091.13,Rio de Janeiro - RJ,Delivery,2024-11-27,True,False,3.3,59.0,True
271,45,0.8,6697.23,Curitiba - PR,Uber/99,2024-02-12,True,True,3.6,51.0,False
272,37,0.5,2908.14,Salvador - BA,Uber/99,2024-12-29,True,False,4.0,35.0,False
273,36,0.5,10509.81,Curitiba - PR,Delivery,2024-03-09,True,False,5.0,34.0,False
274,39,1.9,6155.11,Belo Horizonte - MG,Uber/99,2024-12-16,True,False,5.0,35.0,True
275,47,0.7,3849.53,Curitiba - PR,Executivo,2024-06-18,True,False,4.5,69.0,False
276,49,0.8,6093.65,Belo Horizonte - MG,Uber/99,2024-01-22,True,True,4.1,28.0,False
277,31,4.8,1500.0,Curitiba - PR,Delivery,2024-10-27,True,False,4.6,47.0,False
